;;
75.     ;Владивостокская городская больница;Приморский край, г. Владивосток, ул. Прапорщика Комарова, д. 1В
76.     ;Ансамбль застройки улицы Арсеньева ;Приморский край, г. Владивосток, ул. 1-я Морская, пер. Красноармейский, ул. Бестужева
;(7 строений);
;АНСАМБЛЬ;
77.     ;Дом жилой;Приморский край, г. Владивосток, ул. Арсеньева, д.4, стр. А
78.     ;Дом жилой;Приморский край, г. Владивосток, ул. Арсеньева, 4а, (стр. Б)
79.     ;Дом жилой. Здесь в 1927-1930 гг. жил исследователь Дальнего Востока Арсеньев Владимир Клавдиевич;Приморский край, г. Владивосток, ул. Арсеньева, 7
80.     ;Дом жилой;Приморский край, г. Владивосток, Арсеньева ул., 8
81.     ;Дом жилой;Приморский край ,г. Владивосток, ул. Арсеньева ,15,стр.Б
82.     ;Дом жилой;Приморский край ,г. Владивосток, ул. Арсеньева,15,стр.В
83.     ;Дом жилой;Приморский край, г. Владивосток, ул. Арсеньева, 17, стр. А
84.     ;Дом жилой М. К.Федорова, первого городского головы», 1881–1885 гг;Приморский край, г. Владивосток, Красноармейский пер., 18
85.     ;Особняк коменданта Владивостокской крепости;Приморский край, г. Владивосток, ул. Бестужева, 37
86.     ;Памятник рабочим и служащим завода «Металлист», отдавшим жизнь в боях за Родину в 1941-1945 гг;Приморский край, г. Владивосток, в районе ул. Арсеньева, д. 2
87.     ;Жилой дом военного ведомства;Приморский край, г. Владивосток, ул. Бестужева, 28
88.     ;"Покровское кладбище: захоронение; фундамент храма Покрова Пресвятой Богородицы; территория зеленых насаждений";Приморский край, г. Владивосток, в границах: Океанский проспект, ул. Московская, Партизанский проспект, ул. Октябрьская
;АНСАМБЛЬ;
89.     ;Административное здание железнодорожного ведомства;Приморский край, г. Владивосток, ул. Верхнепортовая, 1
90.     ;Здание офицерского собрания бывшей Владивостокской крепости, в котором в 1900 г. работал выдающийся русский военный инженер К.И.Величко – создатель Владивостокской крепости;Приморский край, г. Владивосток, ул. Верхнепортовая, 2б
91.     ;Административное здание железнодорожного ведомства;Приморский край, г. Владивосток, ул. Верхнепортовая, 3
92.     ;Общинный дом армяно-григорианской общины;Приморский край, г. Владивосток, ул. Володарского, 13
93.     ;Лестница гранитная;г. Владивосток, Володарского ул., у дома № 19
94.     ;Здание бывшего католического костёла;Приморский край, г. Владивосток, ул. Володарского, 22
95.     ;Дом Лукьянова;Приморский край, г. Владивосток, ул. Всеволода Сибирцева, 4
96.     ;Дом Попугаева;Приморский край, г. Владивосток, ул. Всеволода Сибирцева, 9
97.     ;Дом Ющенкова;Приморский край, г. Владивосток, ул. Всеволода Сибирцева, 12
98.     ;Общежитие студентов Восточного института;Приморский край, г. Владивосток, ул. Всеволода Сибирцева, 15, строение 1
99.     ;Жилой дом;Приморский край, г. Владивосток, ул. Всеволода Сибирцева, 15, стр. 4
100.  ;Жилой дом;Приморский край, г. Владивосток, ул. Всеволода Сибирцева, 35
101.  ;"Дом, в котором в 1918-1922 гг. размещалась нелегальная типография Далькрайкома РКП(б) и печаталась газета ""Красное знамя""";Приморский край, г. Владивосток, ул. Всеволода Сибирцева, 67
102.  ;Дом, в котором в декабре 1919 г. нелегально проживал С. Лазо;Приморский край, г. Владивосток, ул. Всеволода Сибирцева, 91
107.  ;"Памятный знак ""Конец Транссибирской магистрали""";Приморский край, г. Владивосток, ж/д ст. Владивосток, перрон
108.  ;Жилой дом военного ведомства;Приморский край, г. Владивосток, ул. Луцкого, 8
109.  ;Жилой дом военного ведомства;Приморский край, г. Владивосток, ул Луцкого, 12
110.  ;Никольская часовня;Приморский край, г. Владивосток, ул. Ивановская, 3б
111.  ;Монумент в честь 100-летия Морского госпиталя - старейшего лечебного учреждения Владивостока;Приморский край, г. Владивосток, ул. Ивановская, терр. госпиталя
112.  ;Памятник Герою Советского Союза М.Н.Цукановой;Приморский край, г. Владивосток, ул. Ивановская, у въезда на терр.госпиталя КТОФ
113.  ;Ансамбль застройки главного госпиталя Сибирской флотилии 1895-1908;Приморский край, г. Владивосток, ул Ивановская, 4, корп. 1-10
;АНСАМБЛЬ;
114.  ;"Достопримечательное место ""Экипажная слобода»";Приморский край, г. Владивосток, южный склон горы Буссе между её южным и юго-восточным отрогами, между улицами Светланской, Всеволода Сибирцева, Шилкинской
140.  ;"Памятный знак на месте, где в 1907 г. выбросился на берег революционный корабль ""Скорый""";Приморский край, г. Владивосток, ул. Корабельная Набережная
141.  ;"Мемориальный корабль - музей ""Красный вымпел""";Приморский край, г. Владивосток, Корабельная наб., причал N 34
142.  ;"Мемориальный комплекс ""Боевая слава Краснознаменного Тихоокеанского флота""";Приморский край, г. Владивосток, ул. Петра Великого, в районе д. 4
143.  ;Мемориальный корабль - подводная лодка С-56;Приморский край, г. Владивосток, Корабельная набережная, 36-й причал
144.  ;"Здание спортивного клуба ""Сокол"" - старейшее спортивное сооружение Владивостока";Приморский край, г. Владивосток, ул. Корабельная наб., д. 21
145.  ;"Памятный знак на месте высадки основателей поста Владивосток с корабля ""Манчжур""";Приморский край, г. Владивосток, ул. Береговая, в районе д. 3
146.  ;"Здание частной типографии ""Экспресс""";Приморский край, г. Владивосток, переулок Краснознаменный, 3
147.  ;Здание российского транспортного страхового общества;Приморский край, г. Владивосток, переулок Краснознаменный, 5
148.  ;Доходный дом;Приморский край, г. Владивосток, переулок Краснознаменный, 10
